id,displayname,fullname,searchname,gender,generation,teachers,students,specifiedteachers,specifiedstudents,info,hadiths,notes
1,Prophet Muḥammad,"Prophet Muḥammad, peace and blessings be upon him",Prophet Muhammad,male,,,,,84,,,
84,Asmāʾ bint Yazīd,Asmāʾ bint Yazīd ibn al-Sakan,Asma bint Yazid ibn al-Sakan,female,,,,1,"11044, 17066","Companion of the Prophet ﷺ, an Anṣāri woman known as Khaṭībat al-Nisāʾ, or the Speaker of the Women, due to her outspokenness and eloquence. She also participated in battles with the Prophet ﷺon multiple occasions",,https://questionsonislam.com/article/asma-bint-yazid-ranha
11044,Shahr ibn Ḥawshab,Shahr ibn Ḥawshab al-Ashʿari,Shahr ibn Hawshab al-Ashari,male,,,,84,,Servant of Asmāʾ bint Yazīd,https://sunnah.com/ibnmajah:3701,
17066,Muhājir ibn Abi Muslim,Muhājir ibn Abi Muslim,Muhajir ibn Abi Muslim,male,,,,84,"17532, 20637",Servant of Asmāʿ bint Yazīd,http://qaalarasulallah.com/hadith.php?ID=2&Rows=6&SID=84&head=Sunan%20Abi%20Da%27ud%20[Narrated%20by%20Asma%27%20bint%20Yazid%20bin%20al-Sakan%20%D8%A3%D8%B3%D9%85%D8%A7%D8%A1%20%D8%A8%D9%86%D8%AA%20%D9%8A%D8%B2%D9%8A%D8%AF%20%D8%A8%D9%86%20%D8%A7%D9%84%D8%B3%D9%83%D9%86],
17532,ʿAmr ibn Muhājir,ʿAmr ibn Muhājir ibn Abi Muslim,Amr ibn Muhajir ibn Abi Muslim,male,,,,17066,,Son of Muhājir ibn Abi Muslim,"http://qaalarasulallah.com/hadith.php?ID=2&Rows=2&SID=17066&head=Sunan%20Abi%20Da%27ud%20[Narrated%20by%20Muhajir%20bin%20Abi%20Muslim%20(Dinar)%20%D9%85%D9%87%D8%A7%D8%AC%D8%B1%20%D8%A8%D9%86%20%D8%A3%D8%A8%D9%8A%20%D9%85%D8%B3%D9%84%D9%85], http://qaalarasulallah.com/hadith.php?ID=2&Rows=6&SID=84&head=Sunan%20Abi%20Da%27ud%20[Narrated%20by%20Asma%27%20bint%20Yazid%20bin%20al-Sakan%20%D8%A3%D8%B3%D9%85%D8%A7%D8%A1%20%D8%A8%D9%86%D8%AA%20%D9%8A%D8%B2%D9%8A%D8%AF%20%D8%A8%D9%86%20%D8%A7%D9%84%D8%B3%D9%83%D9%86]",
20637,Muḥammad ibn Muhājir,Muḥammad ibn Muhājir ibn Abi Muslim,Muhammad ibn Muhajir ibn Abi Muslim,male,,,,17066,,Son of Muhājir ibn Abi Muslim,http://qaalarasulallah.com/hadith.php?ID=2&Rows=2&SID=17066&head=Sunan%20Abi%20Da%27ud%20[Narrated%20by%20Muhajir%20bin%20Abi%20Muslim%20(Dinar)%20%D9%85%D9%87%D8%A7%D8%AC%D8%B1%20%D8%A8%D9%86%20%D8%A3%D8%A8%D9%8A%20%D9%85%D8%B3%D9%84%D9%85],
