id,displayname,fullname,searchname,gender,generation,teachers,students,specifiedteachers,specifiedstudents,info,hadiths,notes
1,Prophet Muḥammad,"Prophet Muḥammad, peace and blessings be upon him",Prophet Muhammad,male,,,,,69,,,
69,Asmāʾ bint ʿUmays,Asmāʾ bint ʿUmays ibn Maʿd,Asma bint Umays ibn Mad,female,,,,1,"10511, 108, 10535, 19555","Companion of the Prophet ﷺ and famous for having married 3 prominent male companions at 3 different times: Jaʿfar ibn Abi Ṭālib, then when he died, Abu Bakr as-Siddīq, and when he died, ʿAli ibn Abi Ṭālib.",,
108,ʿAbdullāh ibn Jaʿfar,ʿAbdullāh ibn Jaʿfar ibn Abi Ṭālib,Abdullah ibn Jafar ibn Abi Talib,male,,,,69,11010,Son of Asmā bint ʿUmays and Jaʿfar ibn Abi Ṭālib,http://qaalarasulallah.com/hadith.php?ID=2&Rows=2&SID=69&head=Sunan%20Abi%20Da%27ud%20[Narrated%20by%20Asma%20bint%20%27Umays%20%D8%A3%D8%B3%D9%85%D8%A7%D8%A1%20%D8%A8%D9%86%D8%AA%20%D8%B9%D9%85%D9%8A%D8%B3%20%D8%A8%D9%86%20%D9%85%D8%B9%D8%AF],
10511,ʿUrwah ibn al-Zubayr,ʿUrwah ibn al-Zubayr ibn al-ʿAwwām,Urwah ibn al-Zubayr ibn al-Awwam,male,,,,69,11013,Son of Asmāʾ bint Abi Bakr and therefore nephew of ʿĀʾishah bint Abi Bakr,http://qaalarasulallah.com/hadith.php?ID=2&Rows=2&SID=69&head=Sunan%20Abi%20Da%27ud%20[Narrated%20by%20Asma%20bint%20%27Umays%20%D8%A3%D8%B3%D9%85%D8%A7%D8%A1%20%D8%A8%D9%86%D8%AA%20%D8%B9%D9%85%D9%8A%D8%B3%20%D8%A8%D9%86%20%D9%85%D8%B9%D8%AF],
10530,ʿAbdur-Raḥmān ibn al-Qāsim ,ʿAbdur-Raḥmān ibn al-Qāsim ibn Muḥammad ibn Abi Bakr,Abdur-Rahman ibn al-Qasim ibn Muhammad ibn Abi Bakr,male,,,,10535,20001,"Son of al-Qāsim ibn Muḥammad ibn Abi Bakr, making him the grandson of Asmāʾ bint ʿUmays and Abi Bakr as well as the great-nephew of ʿAʾishah bint Abi Bakr",http://qaalarasulallah.com/hadith.php?ID=4&Rows=1&SID=69&head=Sunan%20an-Nasa%27i%20[Narrated%20by%20Asma%20bint%20%27Umays%20%D8%A3%D8%B3%D9%85%D8%A7%D8%A1%20%D8%A8%D9%86%D8%AA%20%D8%B9%D9%85%D9%8A%D8%B3%20%D8%A8%D9%86%20%D9%85%D8%B9%D8%AF],
10535,al-Qāsim ibn Muḥammad,al-Qāsim ibn Muḥammad ibn Abi Bakr,al-Qasim ibn Muhammad ibn Abi Bakr,male,,,,69,10530,Grandson of Abi Bakr and Asmāʾ bint ʿUmays,http://qaalarasulallah.com/hadith.php?ID=4&Rows=1&SID=69&head=Sunan%20an-Nasa%27i%20[Narrated%20by%20Asma%20bint%20%27Umays%20%D8%A3%D8%B3%D9%85%D8%A7%D8%A1%20%D8%A8%D9%86%D8%AA%20%D8%B9%D9%85%D9%8A%D8%B3%20%D8%A8%D9%86%20%D9%85%D8%B9%D8%AF],
11010,ʿUmar ibn ʿAbd al-ʿAzīz,ʿUmar ibn ʿAbd al-ʿAzīz ibn Marwān,Umar ibn Abd al-Azīz ibn Marwan,male,,,,108,,"Caliph of the Muslims in the seventh and eighth centuries, considered to be one of the Righteous Caliphs (al-Khulafāʾ al-Rāshidīn) - the only non-companion to achieve that status",http://qaalarasulallah.com/hadith.php?ID=2&Rows=2&SID=69&head=Sunan%20Abi%20Da%27ud%20[Narrated%20by%20Asma%20bint%20%27Umays%20%D8%A3%D8%B3%D9%85%D8%A7%D8%A1%20%D8%A8%D9%86%D8%AA%20%D8%B9%D9%85%D9%8A%D8%B3%20%D8%A8%D9%86%20%D9%85%D8%B9%D8%AF],
11013,Ibn Shihāb az-Zuhri,Muḥammad ibn Muslim ibn ʿUbaydullāh ibn ʿAbdullāh ibn Shihāb al-Zuhri,Muhammad ibn Muslim ibn Ubaydullah ibn Abdullah ibn Shihab al-Zuhri,male,,,,10511,,,http://qaalarasulallah.com/hadith.php?ID=2&Rows=2&SID=69&head=Sunan%20Abi%20Da%27ud%20[Narrated%20by%20Asma%20bint%20%27Umays%20%D8%A3%D8%B3%D9%85%D8%A7%D8%A1%20%D8%A8%D9%86%D8%AA%20%D8%B9%D9%85%D9%8A%D8%B3%20%D8%A8%D9%86%20%D9%85%D8%B9%D8%AF],
11104,ʿAbdullah ibn Abi Bakr ibn Ḥazm,ʿAbdullah ibn Abi Bakr ibn Ḥazm al-Anṣāri,Abdullah ibn Abi Bakr ibn Hazm al-Ansari,male,,,,19556,11107,,"https://sunnah.com/ibnmajah:1611, http://qaalarasulallah.com/hadith.php?ID=5&Rows=3&SID=69&head=Sunan%20Ibn%20Majah%20[Narrated%20by%20Asma%20bint%20%27Umays%20%D8%A3%D8%B3%D9%85%D8%A7%D8%A1%20%D8%A8%D9%86%D8%AA%20%D8%B9%D9%85%D9%8A%D8%B3%20%D8%A8%D9%86%20%D9%85%D8%B9%D8%AF]",
11107,Ibn Isḥāq,Muḥammad ibn Isḥāq ibn Yassār,Muhammad ibn Ishaq ibn Yassar,male,,,,11104,,"8th century author of the famous Sīrat Rasūlullah, a biography of the Prophet Muḥammad ﷺ ","https://sunnah.com/ibnmajah:1611, http://qaalarasulallah.com/hadith.php?ID=5&Rows=3&SID=69&head=Sunan%20Ibn%20Majah%20[Narrated%20by%20Asma%20bint%20%27Umays%20%D8%A3%D8%B3%D9%85%D8%A7%D8%A1%20%D8%A8%D9%86%D8%AA%20%D8%B9%D9%85%D9%8A%D8%B3%20%D8%A8%D9%86%20%D9%85%D8%B9%D8%AF]",
19555,Umm ʿAwn,Umm ʿAwn bint Muḥammad ibn Jaʿfar ibn Abi Ṭālib,Umm Awn bint Muhammad ibn Jafar ibn Abi Talib,female,,,,69,19556,Granddaughter of Asmāʾ bint ʿUmays,"https://sunnah.com/ibnmajah:1611, http://qaalarasulallah.com/hadith.php?ID=5&Rows=3&SID=69&head=Sunan%20Ibn%20Majah%20[Narrated%20by%20Asma%20bint%20%27Umays%20%D8%A3%D8%B3%D9%85%D8%A7%D8%A1%20%D8%A8%D9%86%D8%AA%20%D8%B9%D9%85%D9%8A%D8%B3%20%D8%A8%D9%86%20%D9%85%D8%B9%D8%AF]",
19556,Umm ʿĪsā,Umm ʿĪsā al-Jazzār or Umm Īsā al-Khuzāʿiyyah,Umm Isa al-Jazzar or Umm Isa al-Khuzaiyyah,female,,,,19555,11104,,"https://sunnah.com/ibnmajah:1611, http://qaalarasulallah.com/hadith.php?ID=5&Rows=3&SID=69&head=Sunan%20Ibn%20Majah%20[Narrated%20by%20Asma%20bint%20%27Umays%20%D8%A3%D8%B3%D9%85%D8%A7%D8%A1%20%D8%A8%D9%86%D8%AA%20%D8%B9%D9%85%D9%8A%D8%B3%20%D8%A8%D9%86%20%D9%85%D8%B9%D8%AF]",
20001,Imām Mālik,Mālik ibn Anas,Malik ibn Anas,male,,,,10530,,Founder of one of the four legal schools of thought in Sunni Islam,http://qaalarasulallah.com/hadith.php?ID=4&Rows=1&SID=69&head=Sunan%20an-Nasa%27i%20[Narrated%20by%20Asma%20bint%20%27Umays%20%D8%A3%D8%B3%D9%85%D8%A7%D8%A1%20%D8%A8%D9%86%D8%AA%20%D8%B9%D9%85%D9%8A%D8%B3%20%D8%A8%D9%86%20%D9%85%D8%B9%D8%AF],
