id,displayname,fullname,searchname,gender,generation,teachers,students,specifiedteachers,specifiedstudents,info,hadiths,notes
1,Prophet Muḥammad,"Prophet Muḥammad, peace and blessings be upon him",Prophet Muhammad,male,,,,,"56, 53",,,
10737,Khayrah Umm al-Hasan al-Baṣri ,Khayrah Umm al-Hasan al-Baṣri ,Khayrah Umm al-Hasan al-Basri ,female,,"53, 56",11016,"56, 53","11016, 11287","Servant of Umm Salamah and the mother of the famous scholar, Al-Hasan Al-Baṣri",,
11287,Saʿīd ibn Abi al-Ḥasan,Saʿīd ibn Abi al-Ḥasan,Said ibn Abi al-Hasan,,,,,10737,,Son of Khayrah Umm al-Ḥasan al-Baṣri and brother of al-Ḥasan al-Baṣri,http://qaalarasulallah.com/hadith.php?ID=1&Rows=3&SID=10737&head=Sahih%20Muslim%20[Narrated%20by%20Khayra%20Umm%20al-Hasan%20al-%27Abbassri%20%D8%AE%D9%8A%D8%B1%D8%A9%20%D8%A3%D9%85%20%D8%A7%D9%84%D8%AD%D8%B3%D9%86%20%D8%A7%D9%84%D8%A8%D8%B5%D8%B1%D9%8A],
56,Umm Salamah,Hind bint Abi Umayyah ibn al-Mughīrah,Umm Salamah Hind bint Abi Umayyah ibn al-Mughīrah,female,,,,1,10737,Wife of the Prophet Muḥammad ﷺ,http://qaalarasulallah.com/hadith.php?ID=1&Rows=3&SID=10737&head=Sahih%20Muslim%20[Narrated%20by%20Khayra%20Umm%20al-Hasan%20al-%27Abbassri%20%D8%AE%D9%8A%D8%B1%D8%A9%20%D8%A3%D9%85%20%D8%A7%D9%84%D8%AD%D8%B3%D9%86%20%D8%A7%D9%84%D8%A8%D8%B5%D8%B1%D9%8A],
11016,al-Hasan al-Baṣri,al-Hasan al-Baṣri,al-Hasan al-Basri,male,,,,10737,,"Son of Khayrah Umm al-Hasan al-Baṣri, and famous scholar from Iraq",http://qaalarasulallah.com/hadith.php?ID=1&Rows=3&SID=10737&head=Sahih%20Muslim%20[Narrated%20by%20Khayra%20Umm%20al-Hasan%20al-%27Abbassri%20%D8%AE%D9%8A%D8%B1%D8%A9%20%D8%A3%D9%85%20%D8%A7%D9%84%D8%AD%D8%B3%D9%86%20%D8%A7%D9%84%D8%A8%D8%B5%D8%B1%D9%8A],
53,ʿAʾishah bint Abi Bakr,ʿAʾishah bint Abi Bakr,Aishah bint Abi Bakr,female,,,,1,10737,"Wife of the Prophet ﷺand daughter of Abi Bakr, the first caliph",http://qaalarasulallah.com/hadith.php?ID=1&Rows=3&SID=10737&head=Sahih%20Muslim%20[Narrated%20by%20Khayra%20Umm%20al-Hasan%20al-%27Abbassri%20%D8%AE%D9%8A%D8%B1%D8%A9%20%D8%A3%D9%85%20%D8%A7%D9%84%D8%AD%D8%B3%D9%86%20%D8%A7%D9%84%D8%A8%D8%B5%D8%B1%D9%8A],
