id,displayname,fullname,searchname,gender,generation,teachers,students,specifiedteachers,specifiedstudents,info,hadiths,notes
1,Prophet Muḥammad,"Prophet Muḥammad, peace and blessings be upon him",Prophet Muhammad,male,,,,,"59, 57, 53",,,
27,Muʾāwiyah ibn Abi Sufyān,Muʾāwiyah ibn Abi Sufyān,Muawiyah ibn Abi Sufyan,male,,,,59,398,Brother of Ramlah Umm Ḥabībah bint Abi Sufyān,"https://isnad.io/hadith/29799, http://qaalarasulallah.com/hadith.php?ID=5&Rows=86&SID=11107&head=Sunan%20Ibn%20Majah%20[Narrated%20by%20Ibn%20Ishaq%20%D9%85%D8%AD%D9%85%D8%AF%20%D8%A8%D9%86%20%D8%A5%D8%B3%D8%AD%D8%A7%D9%82%20%D8%A8%D9%86%20%D9%8A%D8%B3%D8%A7%D8%B1%E2%80%8E]",
53,ʿAʾishah bint Abi Bakr,ʿAʾishah bint Abi Bakr,Aishah bint Abi Bakr,female,,,,"59, 53","10511, 53","Wife of the Prophet ﷺand daughter of Abi Bakr, the first caliph","https://isnad.io/hadith/4742, http://qaalarasulallah.com/hadith.php?ID=2&Rows=7&SID=59&head=Sunan%20Abi%20Da%27ud%20[Narrated%20by%20Umm%20Habibah%20bint%20Abi%20Sufyan%20%D8%A3%D9%85%20%D8%AD%D8%A8%D9%8A%D8%A8%D8%A9%20,%D8%B1%D9%85%D9%84%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%A3%D8%A8%D9%8A%20%D8%B3%D9%81%D9%8A%D8%A7%D9%86]",
53,ʿAʾishah bint Abi Bakr,ʿAʾishah bint Abi Bakr,Aishah bint Abi Bakr,female,,,,1,59,,"http://qaalarasulallah.com/hadith.php?ID=2&Rows=7&SID=59&head=Sunan%20Abi%20Da%27ud%20[Narrated%20by%20Umm%20Habibah%20bint%20Abi%20Sufyan%20%D8%A3%D9%85%20%D8%AD%D8%A8%D9%8A%D8%A8%D8%A9%20,%D8%B1%D9%85%D9%84%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%A3%D8%A8%D9%8A%20%D8%B3%D9%81%D9%8A%D8%A7%D9%86]",
57,Zaynab bint Jaḥsh,Umm al-Muʿminīn Zaynab bint Jaḥsh,Zaynab bint Jahsh,female,,1,,1,59,Wife of the Prophet ﷺ who was divorced from Zayn ibn al-Ḥārithah,https://isnad.io/hadith/2110,
59,Ramlah bint Abi Sufyān,Umm al-Muʿminīn Umm Ḥabībah Ramlah bint Abi Sufyān,Umm Ḥabībah Ramlah bint Abi Sufyan,female,,,,"57, 53, 1","244, 11394, 53, 27, 2802, 11011, 11455, 53, 11044, 846",Wife of the Prophet ﷺand daught of Abi Sufyān,https://isnad.io/hadith/2110,
244,Zaynab bint Abi Salamah,Zaynab bint Abi Salamah,Zaynab bint Abi Salamah,female,,,,59,10511,"Daughter of Umm Salamah, and step-daughter of the Prophet ﷺ","https://isnad.io/hadith/2110, https://ahadith.co.uk/hadithbynarrator.php?n=Zainab+bint+Abi+Salama&bid=1&let=Z",
398,Muʾāwiyah ibn Ḥadīj,Muʾāwiyah ibn Ḥadīj,Muawiyah ibn Hadij,male,,,,27,16165,,http://qaalarasulallah.com/hadith.php?ID=5&Rows=86&SID=11107&head=Sunan%20Ibn%20Majah%20[Narrated%20by%20Ibn%20Ishaq%20%D9%85%D8%AD%D9%85%D8%AF%20%D8%A8%D9%86%20%D8%A5%D8%B3%D8%AD%D8%A7%D9%82%20%D8%A8%D9%86%20%D9%8A%D8%B3%D8%A7%D8%B1%E2%80%8E],
2802,Ṣafiyyah bint Shaybah ibn ʿUthmān,Ṣafiyyah bint Shaybah ibn ʿUthmān,Safiyyah bint Shaybah ibn Uthman,female,,,,59,,,https://isnad.io/hadith/33755,
10511,ʿUrwah ibn al-Zubayr,ʿUrwah ibn al-Zubayr ibn al-ʿAwwām,Urwah ibn al-Zubayr ibn al-Awwam,male,,,,"244, 53","11013, 11065",Nephew of ʿĀʾishah bint Abi Bakr,"https://isnad.io/hadith/2110, https://isnad.io/hadith/4742",
11011,Sālim ibn ʿAbdullāh ibn ʿUmar,Sālim ibn ʿAbdullāh ibn ʿUmar ibn al-Khaṭṭāb,Salim ibn Abdullah ibn Umar ibn al-Khattab,male,,,,59,11014,Son of ʿAbdullah ibn ʿUmar ibn al-Khaṭṭāb,https://isnad.io/hadith/22074,
11013,Ibn Shihāb az-Zuhri,Muḥammad ibn Muslim ibn ʿUbaydullāh ibn ʿAbdullāh ibn Shihāb al-Zuhri,Muhammad ibn Muslim ibn Ubaydullah ibn Abdullah ibn Shihab al-Zuhri,male,,,,"10511, 11455",,Nephew of ʿĀʾishah bint Abi Bakr,"https://isnad.io/hadith/2110, http://qaalarasulallah.com/hadith.php?ID=2&Rows=7&SID=59&head=Sunan%20Abi%20Da%27ud%20[Narrated%20by%20Umm%20Habibah%20bint%20Abi%20Sufyan%20%D8%A3%D9%85%20%D8%AD%D8%A8%D9%8A%D8%A8%D8%A9%20,%D8%B1%D9%85%D9%84%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%A3%D8%A8%D9%8A%20%D8%B3%D9%81%D9%8A%D8%A7%D9%86]",
11014,Nāfiʿ Mawlā Ibn ʿUmar,Nāfiʿ Abu ʿAbdullāh Mawlā Ibn ʿUmar,Nafi Abu Abdullah Mawla Ibn Umar,male,,,,11011,,Servant of ʿAbdullāh ibn ʿUmar,https://isnad.io/hadith/22074,
11065,Hishām ibn ʿUrwah,Hishām ibn ʿUrwah ibn az-Zubayr ibn al-ʿAwwām,Hisham ibn Urwah ibn az-Zubayr ibn al-Awwam,male,,,,10511,,Son of ʿUrwah ibn al-Zubayr and great-nephew of ʿAʾishah bint Abi Bakr,https://isnad.io/hadith/4742,
11107,Ibn Isḥāq,Muḥammad ibn Isḥāq ibn Yassār,Muhammad ibn Ishaq ibn Yassar,male,,,,11411,,"8th century author of the famous Sīrat Rasūlullah, a biography of the Prophet Muḥammad ﷺ ",http://qaalarasulallah.com/hadith.php?ID=5&Rows=86&SID=11107&head=Sunan%20Ibn%20Majah%20[Narrated%20by%20Ibn%20Ishaq%20%D9%85%D8%AD%D9%85%D8%AF%20%D8%A8%D9%86%20%D8%A5%D8%B3%D8%AD%D8%A7%D9%82%20%D8%A8%D9%86%20%D9%8A%D8%B3%D8%A7%D8%B1%E2%80%8E],
11394,al-Musayyib ibn Rāfiʿ,al-Musayyib ibn Rāfiʿ al-Asadi,al-Musayyib ibn Rafi al-Asadi,male,,,,"59, 846",11049,,"https://isnad.io/hadith/19971, http://qaalarasulallah.com/hadith.php?ID=3&Rows=3&SID=59&head=Jami%27%20al-Tirmidhi%20[Narrated%20by%20Umm%20Habibah%20bint%20Abi%20Sufyan%20%D8%A3%D9%85%20%D8%AD%D8%A8%D9%8A%D8%A8%D8%A9%20,%D8%B1%D9%85%D9%84%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%A3%D8%A8%D9%8A%20%D8%B3%D9%81%D9%8A%D8%A7%D9%86]",
11411,Yazīd ibn Abi Ḥabīb,Yazīd ibn Abi Ḥabīb,Yazid ibn Abi Habib,,,,,16165,11107,,http://qaalarasulallah.com/hadith.php?ID=5&Rows=86&SID=11107&head=Sunan%20Ibn%20Majah%20[Narrated%20by%20Ibn%20Ishaq%20%D9%85%D8%AD%D9%85%D8%AF%20%D8%A8%D9%86%20%D8%A5%D8%B3%D8%AD%D8%A7%D9%82%20%D8%A8%D9%86%20%D9%8A%D8%B3%D8%A7%D8%B1%E2%80%8E],
11455,ʿAmrah bint ʿAbd ur-Raḥmān,ʿAmrah bint ʿAbd ur-Raḥmān ibn Saʿd ibn Zarārah,Amrah bint Abdur-Rahman ibn Sad ibn Zararah,female,,,,59,11013,,"http://qaalarasulallah.com/hadith.php?ID=2&Rows=7&SID=59&head=Sunan%20Abi%20Da%27ud%20[Narrated%20by%20Umm%20Habibah%20bint%20Abi%20Sufyan%20%D8%A3%D9%85%20%D8%AD%D8%A8%D9%8A%D8%A8%D8%A9%20,%D8%B1%D9%85%D9%84%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%A3%D8%A8%D9%8A%20%D8%B3%D9%81%D9%8A%D8%A7%D9%86]",
16165,Suwayd ibn Qays,Suwayd ibn Qays al-Tajībī,Suwayd ibn Qays al-Tajibi,male,,,,398,11411,,http://qaalarasulallah.com/hadith.php?ID=5&Rows=86&SID=11107&head=Sunan%20Ibn%20Majah%20[Narrated%20by%20Ibn%20Ishaq%20%D9%85%D8%AD%D9%85%D8%AF%20%D8%A8%D9%86%20%D8%A5%D8%B3%D8%AD%D8%A7%D9%82%20%D8%A8%D9%86%20%D9%8A%D8%B3%D8%A7%D8%B1%E2%80%8E],
